,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,bambous virieux,,,,,,,,
1,abensberg,,,,,,,,
2,illoqqortoormiut,,,,,,,,
3,husavik,,,,,,,,
4,marawi,,,,,,,,
5,taolanaro,,,,,,,,
6,bemidji,,,,,,,,
7,punta arenas,,,,,,,,
8,bluff,,,,,,,,
9,suntar,,,,,,,,
10,albany,,,,,,,,
11,victoria,,,,,,,,
12,la asuncion,,,,,,,,
13,muisne,,,,,,,,
14,nikolskoye,,,,,,,,
15,kamenka,,,,,,,,
16,avarua,,,,,,,,
17,tessalit,,,,,,,,
18,saint-pierre,,,,,,,,
19,thinadhoo,,,,,,,,
20,lagoa,,,,,,,,
21,puerto ayora,,,,,,,,
22,jeremie,,,,,,,,
23,palmer,,,,,,,,
24,saint-philippe,,,,,,,,
25,ushuaia,,,,,,,,
26,barrow,,,,,,,,
27,caetes,,,,,,,,
28,diego de almagro,,,,,,,,
29,biltine,,,,,,,,
30,fallon,,,,,,,,
31,port elizabeth,,,,,,,,
32,karpuninskiy,,,,,,,,
33,tasiilaq,,,,,,,,
34,bethel,,,,,,,,
35,mataura,,,,,,,,
36,mahebourg,,,,,,,,
37,margate,,,,,,,,
38,panzhihua,,,,,,,,
39,biak,,,,,,,,
40,selikhino,,,,,,,,
41,gat,,,,,,,,
42,lazaro cardenas,,,,,,,,
43,cayenne,,,,,,,,
44,hobart,,,,,,,,
45,saskylakh,,,,,,,,
46,tabiauea,,,,,,,,
47,arraial do cabo,,,,,,,,
48,port alfred,,,,,,,,
49,alto araguaia,,,,,,,,
50,norman wells,,,,,,,,
51,umzimvubu,,,,,,,,
52,naryan-mar,,,,,,,,
53,longyearbyen,,,,,,,,
54,puerto colombia,,,,,,,,
55,karratha,,,,,,,,
56,iqaluit,,,,,,,,
57,busselton,,,,,,,,
58,ponta do sol,,,,,,,,
59,hilo,,,,,,,,
60,raposos,,,,,,,,
61,rikitea,,,,,,,,
62,ginda,,,,,,,,
63,kodiak,,,,,,,,
64,mungwi,,,,,,,,
65,mys shmidta,,,,,,,,
66,grand forks,,,,,,,,
67,upernavik,,,,,,,,
68,asau,,,,,,,,
69,champerico,,,,,,,,
70,yellowknife,,,,,,,,
71,yerbogachen,,,,,,,,
72,belaya gora,,,,,,,,
73,sorland,,,,,,,,
74,paamiut,,,,,,,,
75,tuktoyaktuk,,,,,,,,
76,tiksi,,,,,,,,
77,havre-saint-pierre,,,,,,,,
78,george,,,,,,,,
79,qaanaaq,,,,,,,,
80,kisanga,,,,,,,,
81,poronaysk,,,,,,,,
82,general roca,,,,,,,,
83,ati,,,,,,,,
84,balaipungut,,,,,,,,
85,butaritari,,,,,,,,
86,kapaa,,,,,,,,
87,kathmandu,,,,,,,,
88,barentsburg,,,,,,,,
89,hermanus,,,,,,,,
90,artyk,,,,,,,,
91,yulara,,,,,,,,
92,baruun-urt,,,,,,,,
93,mormugao,,,,,,,,
94,jumla,,,,,,,,
95,bredasdorp,,,,,,,,
96,hofn,,,,,,,,
97,ugoofaaru,,,,,,,,
98,malwan,,,,,,,,
99,new norfolk,,,,,,,,
100,torbay,,,,,,,,
101,xiangxiang,,,,,,,,
102,eldikan,,,,,,,,
103,milkovo,,,,,,,,
104,esperance,,,,,,,,
105,sao filipe,,,,,,,,
106,arzgir,,,,,,,,
107,belushya guba,,,,,,,,
108,ahipara,,,,,,,,
109,amderma,,,,,,,,
110,ankara,,,,,,,,
111,vaini,,,,,,,,
112,palmerston,,,,,,,,
113,nevelsk,,,,,,,,
114,dingle,,,,,,,,
115,homer,,,,,,,,
116,menongue,,,,,,,,
117,ulagan,,,,,,,,
118,edgewater,,,,,,,,
119,hithadhoo,,,,,,,,
120,veraval,,,,,,,,
121,uong bi,,,,,,,,
122,airai,,,,,,,,
123,hualmay,,,,,,,,
124,flinders,,,,,,,,
125,touros,,,,,,,,
126,suluq,,,,,,,,
127,razgrad,,,,,,,,
128,dawlatabad,,,,,,,,
129,moss point,,,,,,,,
130,panalingaan,,,,,,,,
131,kirkwall,,,,,,,,
132,hasaki,,,,,,,,
133,hirson,,,,,,,,
134,plouzane,,,,,,,,
135,acapulco,,,,,,,,
136,san cristobal,,,,,,,,
137,giyani,,,,,,,,
138,phan rang,,,,,,,,
