City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed(mph)
Port Alfred,8,ZA,1613633446,78,-33.5906,26.891,75.0,7.0
San Patricio,90,US,1613633446,100,28.017,-97.5169,35.6,14.97
Kaitangata,98,NZ,1613633446,74,-46.2817,169.8464,61.0,1.99
Cedar City,1,US,1613633447,73,37.6775,-113.0619,23.0,3.44
San Isidro,0,PE,1613633447,83,-12.1167,-77.05,71.01,4.61
Atuona,90,PF,1613633447,75,-9.8,-139.0333,79.57,15.35
Zhuhai,0,CN,1613633447,49,22.2769,113.5678,75.99,4.61
Thompson,40,CA,1613633448,76,55.7435,-97.8558,-20.2,3.62
Barrow,90,US,1613633448,68,71.2906,-156.7887,-25.6,11.5
Nemuro,75,JP,1613633448,69,43.3236,145.575,28.4,4.61
Tiksi,100,RU,1613633448,88,71.6872,128.8694,-20.33,7.02
Avarua,90,CK,1613633449,89,-21.2078,-159.775,80.6,12.66
Severo-Kuril'sk,100,RU,1613633449,91,50.6789,156.125,28.74,14.34
Basoko,100,CD,1613633449,80,1.2391,23.616,77.0,6.96
Hermanus,98,ZA,1613633449,73,-34.4187,19.2345,69.01,5.99
Taoudenni,100,ML,1613633450,19,22.6783,-3.9836,73.35,8.41
Bengkulu,25,ID,1613633450,60,-3.8004,102.2655,86.29,8.21
Qaanaaq,61,GL,1613633450,73,77.484,-69.3632,-8.32,6.06
Massaguet,44,TD,1613633450,23,12.4755,15.4365,59.0,12.66
Lüderitz,0,NA,1613633451,51,-26.6481,15.1594,71.01,14.76
Mataura,52,NZ,1613633451,82,-46.1927,168.8643,59.0,5.99
Karratha,0,AU,1613633451,62,-20.7377,116.8463,88.12,13.47
Rikitea,24,PF,1613633451,68,-23.1203,-134.9692,78.89,8.37
Caceres,100,ES,1613633451,91,39.522,-6.3748,48.0,4.0
Bluff,62,NZ,1613633452,82,-46.6,168.3333,59.0,5.99
Upernavik,1,GL,1613633452,87,72.7868,-56.1549,-13.32,2.77
Cooma,40,AU,1613633452,52,-36.2333,149.1333,68.0,17.27
Khatanga,96,RU,1613633452,87,71.9667,102.5,-20.33,8.95
Mount Isa,90,AU,1613633452,45,-20.7333,139.5,87.8,13.8
Carnarvon,0,AU,1613633453,69,-24.8667,113.6333,82.4,24.16
Ponta do Sol,78,PT,1613633453,62,32.6667,-17.1,55.99,1.99
Simplício Mendes,100,BR,1613633453,96,-7.8539,-41.9103,69.4,1.7
Vaini,40,TO,1613633453,94,-21.2,-175.2,77.0,3.44
Yurla,91,RU,1613633454,90,59.3259,54.3223,-1.95,2.26
Paita,0,PE,1613633454,79,-5.0892,-81.1144,73.51,6.91
Esperance,0,AU,1613633454,43,-33.8667,121.9,71.6,27.63
Hobart,0,AU,1613633454,53,-42.8794,147.3294,86.0,16.11
Punto Fijo,98,VE,1613633455,82,11.6956,-70.1996,75.4,17.38
Vestmannaeyjar,75,IS,1613633455,93,63.4427,-20.2734,37.4,10.36
George Town,20,MY,1613633455,24,5.4112,100.3354,96.8,11.5
Punta Arenas,90,CL,1613633455,81,-53.15,-70.9167,46.4,10.36
Nanortalik,0,GL,1613633455,84,60.1432,-45.2371,17.74,9.19
Mayumba,97,GA,1613633456,83,-3.432,10.6554,78.46,1.41
Tres Picos,19,MX,1613633456,77,15.8667,-93.5333,70.36,2.33
Hilo,90,US,1613633456,83,19.7297,-155.09,71.6,6.91
Mollendo,11,PE,1613633456,78,-17.0231,-72.0147,69.46,8.77
Bratsk,75,RU,1613633238,78,56.1325,101.6142,8.6,11.18
Jutaí,100,BR,1613633457,92,-5.1833,-68.9,73.4,1.5
Carroll,90,US,1613633457,63,39.5501,-77.0164,26.6,3.4
Helsinge,100,DK,1613633367,42,56.0228,12.1975,34.0,7.0
Mwinilunga,95,ZM,1613633457,71,-11.7358,24.4293,74.08,4.18
Saint Anthony,90,US,1613633458,72,45.0205,-93.218,8.6,4.61
Beyneu,96,KZ,1613633458,88,45.3167,55.2,23.58,23.69
Mackay,40,AU,1613633458,74,-21.15,149.2,80.6,13.8
Igrim,0,RU,1613633458,84,63.1906,64.4162,-18.6,4.34
Zvishavane,42,ZW,1613633459,70,-20.3267,30.0665,73.87,4.36
Cabo San Lucas,0,MX,1613633459,84,22.8909,-109.9124,59.0,1.99
Kapaa,90,US,1613633459,100,22.0752,-159.319,69.8,13.8
Sheregesh,100,RU,1613633459,95,52.9209,87.9869,16.18,3.02
Pochutla,0,MX,1613633459,88,15.7432,-96.4661,66.0,2.71
Boa Vista,0,BR,1613633205,69,2.8197,-60.6733,77.0,11.5
Xam Nua,78,LA,1613633460,64,20.4197,104.0439,65.43,4.21
Balta,65,UA,1613633460,96,47.9355,29.6198,19.94,6.87
Airai,100,TL,1613633460,100,-8.9266,125.4092,66.0,4.47
El Alto,6,PE,1613633460,80,-4.2714,-81.2147,72.07,9.98
Grindavik,75,IS,1613633461,93,63.8424,-22.4338,35.6,10.36
