City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed(mph)
Taoudenni,9,ML,1613491561,15,22.6783,-3.9836,81.81,23.35
Qaqortoq,75,GL,1613491561,53,60.7167,-46.0333,19.4,3.44
Pochutla,1,MX,1613491562,57,15.7432,-96.4661,81.0,3.89
Punta Arenas,75,CL,1613491562,55,-53.15,-70.9167,59.0,12.66
Cape Town,20,ZA,1613491539,47,-33.9258,18.4232,78.8,21.85
Niterói,20,BR,1613491562,78,-22.8833,-43.1036,91.4,14.97
Coyhaique,20,CL,1613491563,42,-45.5752,-72.0662,62.6,12.66
Mataura,0,NZ,1613491563,90,-46.1927,168.8643,41.0,1.01
Tuktoyaktuk,90,CA,1613491563,76,69.4541,-133.0374,-18.4,9.22
Port Elizabeth,75,ZA,1613491389,56,-33.918,25.5701,69.8,16.11
Makakilo City,90,US,1613491563,88,21.3469,-158.0858,69.8,2.44
Saldanha,0,ZA,1613491564,25,-33.0117,17.9442,78.8,16.11
Laas,40,IT,1613491564,70,46.6166,10.7002,45.0,5.75
Flores da Cunha,75,BR,1613491564,83,-29.0289,-51.1817,75.0,6.91
Port Hawkesbury,90,CA,1613491564,86,45.6169,-61.3485,26.01,10.36
Castro,6,BR,1613491564,54,-24.7911,-50.0119,78.17,8.1
Burns Lake,100,CA,1613491565,92,54.2331,-125.7533,10.4,2.33
Yellowknife,75,CA,1613491553,75,62.456,-114.3525,-26.0,5.75
Sitka,90,US,1613491565,80,57.0531,-135.33,32.0,5.75
Atuona,3,PF,1613491566,78,-9.8,-139.0333,78.46,11.34
Bredasdorp,43,ZA,1613491566,60,-34.5322,20.0403,69.8,21.85
Henties Bay,0,NA,1613491566,79,-22.116,14.2845,69.01,8.01
Port Alfred,43,ZA,1613491566,69,-33.5906,26.891,69.01,4.0
Chicama,0,PE,1613491567,78,-7.8447,-79.1469,73.4,6.91
Gizo Government Station,90,SB,1613491567,74,-8.103,156.8419,83.07,5.86
Torbay,75,CA,1613491514,68,47.6666,-52.7314,27.0,12.66
Calama,0,CL,1613491567,30,-22.4667,-68.9333,68.0,20.71
Hobart,1,AU,1613491567,82,-42.8794,147.3294,57.2,6.91
Grand Gaube,97,MU,1613491568,84,-20.0064,57.6608,80.01,3.0
Hithadhoo,69,MV,1613491568,71,-0.6,73.0833,81.93,5.08
Tiksi,50,RU,1613491568,84,71.6872,128.8694,-22.85,4.16
Saskylakh,98,RU,1613491568,86,71.9167,114.0833,-21.26,5.28
Rikitea,4,PF,1613491568,77,-23.1203,-134.9692,78.35,17.0
Busselton,0,AU,1613491427,92,-33.65,115.3333,62.01,11.18
Rosetta,75,EG,1613491569,87,31.4044,30.4164,48.2,11.5
Urdoma,100,RU,1613491569,92,61.7533,48.5442,-3.12,1.61
Yumen,0,CN,1613491569,66,40.2833,97.2,34.59,12.44
Bathsheba,40,BB,1613491570,54,13.2167,-59.5167,84.2,24.16
Marsá Maţrūḩ,40,EG,1613491570,54,31.3525,27.2453,51.8,25.32
Tarko-Sale,100,RU,1613491570,87,64.9225,77.785,-21.91,9.26
Cabo San Lucas,1,MX,1613491570,55,22.8909,-109.9124,64.4,3.44
Katsuura,1,JP,1613491570,41,35.1333,140.3,48.99,10.0
Clyde River,75,CA,1613491571,76,70.4692,-68.5914,-16.6,2.3
Guerrero Negro,98,MX,1613491571,75,27.9769,-114.0611,60.15,11.3
Dikson,46,RU,1613491571,85,73.5069,80.5464,-29.16,11.41
Half Moon Bay,20,US,1613491571,87,37.4636,-122.4286,50.0,14.97
