,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,punta arenas,CL,,,,,,,
1,bluff,NZ,,,,,,,
2,sitka,US,,,,,,,
3,rikitea,PF,,,,,,,
4,butaritari,KI,,,,,,,
5,sorland,NO,,,,,,,
6,ketchikan,US,,,,,,,
7,ambilobe,MG,,,,,,,
8,severo-kurilsk,RU,,,,,,,
9,port alfred,ZA,,,,,,,
10,cepu,ID,,,,,,,
11,avarua,CK,,,,,,,
12,tsihombe,,,,,,,,
13,esil,KZ,,,,,,,
14,truckee,US,,,,,,,
15,east london,ZA,,,,,,,
16,iqaluit,CA,,,,,,,
17,dekoa,,,,,,,,
18,taolanaro,,,,,,,,
19,hermanus,ZA,,,,,,,
20,nezhinka,RU,,,,,,,
21,yellowknife,CA,,,,,,,
22,clyde river,CA,,,,,,,
23,lebu,CL,,,,,,,
24,bolungarvik,,,,,,,,
25,avera,US,,,,,,,
26,honiara,SB,,,,,,,
27,sioux lookout,CA,,,,,,,
28,bilibino,RU,,,,,,,
29,nikolskoye,RU,,,,,,,
30,yerbogachen,RU,,,,,,,
31,faanui,PF,,,,,,,
32,riyadh,SA,,,,,,,
33,hede,CN,,,,,,,
34,hilo,US,,,,,,,
35,busselton,AU,,,,,,,
36,puerto ayora,EC,,,,,,,
37,svetlaya,RU,,,,,,,
38,omboue,GA,,,,,,,
39,kapaa,US,,,,,,,
40,price,US,,,,,,,
41,vaini,TO,,,,,,,
42,ibirataia,BR,,,,,,,
43,lahaina,US,,,,,,,
44,cabo san lucas,MX,,,,,,,
45,mataura,NZ,,,,,,,
46,pevek,RU,,,,,,,
47,ushuaia,AR,,,,,,,
48,carnarvon,AU,,,,,,,
49,yizheng,CN,,,,,,,
50,mar del plata,AR,,,,,,,
51,vung tau,VN,,,,,,,
52,isangel,VU,,,,,,,
53,hobart,AU,,,,,,,
54,mumford,GH,,,,,,,
55,tuktoyaktuk,CA,,,,,,,
56,pueblo nuevo,MX,,,,,,,
57,sur,OM,,,,,,,
58,sabha,LY,,,,,,,
59,kaitangata,NZ,,,,,,,
60,upernavik,GL,,,,,,,
61,tiksi,RU,,,,,,,
62,yialos,,,,,,,,
63,sentyabrskiy,,,,,,,,
64,castro,BR,,,,,,,
65,chokurdakh,RU,,,,,,,
66,bitam,GA,,,,,,,
67,broome,US,,,,,,,
68,saint-joseph,RE,,,,,,,
69,narsaq,GL,,,,,,,
70,codrington,AU,,,,,,,
71,brindisi,IT,,,,,,,
72,vapnyarka,UA,,,,,,,
73,stryn,NO,,,,,,,
74,anicuns,BR,,,,,,,
75,lata,PT,,,,,,,
